latent_type,src_lang,dest_lang,latent_lang,prob,ci95_prob,loss,ci95_loss,correct,total,acc,ci95_acc
unembed,fr,en,es,0.63671875,0.054106307238977705,0.734375,0.18323117543506562,101,133,0.7593984962406015,0.07264643149756776
unembed,de,fr,ru,0.703125,0.051782723492518536,0.69140625,0.22173627751924604,110,133,0.8270676691729323,0.06427452421254998
unembed,de,fr,zh,0.703125,0.051450782957310086,0.703125,0.22571956394174747,111,133,0.8345864661654135,0.06314681343230259
unembed,de,fr,es,0.58203125,0.05676183152064532,1.1015625,0.277502287434266,95,133,0.7142857142857143,0.07677718959499145
unembed,de,fr,en,0.30859375,0.047467496534808654,2.109375,0.32530172450428313,66,133,0.49624060150375937,0.08497437501274104
unembed,de,ru,fr,0.67578125,0.05377436670376925,0.73046875,0.20713089397007414,110,133,0.8270676691729323,0.06427452421254998
unembed,de,ru,zh,0.69921875,0.04879525867564247,0.61328125,0.180575651153398,113,133,0.849624060150376,0.060748118225265005
unembed,de,ru,es,0.6875,0.04979108028126782,0.625,0.17792012687173034,111,133,0.8345864661654135,0.06314681343230259
unembed,de,ru,en,0.33984375,0.04613973439397485,1.671875,0.23766942320925175,77,133,0.5789473684210527,0.08391082402578583
unembed,de,zh,fr,0.59375,0.05510212884460306,0.921875,0.2137697046742432,99,133,0.7443609022556391,0.07413711226948524
unembed,de,zh,ru,0.59375,0.051782723492518536,0.859375,0.1991643211250713,102,133,0.7669172932330827,0.07185542173622735
unembed,de,zh,es,0.6171875,0.0534424261685608,0.828125,0.20314760754757272,102,133,0.7669172932330827,0.07185542173622735
unembed,de,zh,en,0.298828125,0.039998834492618485,1.71875,0.22173627751924604,62,133,0.46616541353383456,0.08478199447386237
unembed,de,es,fr,0.58984375,0.06074511794314675,1.1328125,0.2867966224201027,93,133,0.6992481203007519,0.07793814766996207
unembed,de,es,ru,0.72265625,0.051450782957310086,0.6484375,0.22173627751924604,113,133,0.849624060150376,0.060748118225265005
unembed,de,es,zh,0.7265625,0.051450782957310086,0.640625,0.22439180180091367,111,133,0.8345864661654135,0.06314681343230259
unembed,de,es,en,0.35546875,0.05012302081647627,1.75,0.2735190010117646,70,133,0.5263157894736842,0.08485899902604317
unembed,de,en,fr,0.61328125,0.05974929633752139,1.078125,0.2947631952651055,98,133,0.7368421052631579,0.07483860264292752
unembed,de,en,ru,0.74609375,0.04547585332355794,0.48046875,0.1573398136888063,117,133,0.8796992481203008,0.05528808302171778
unembed,de,en,zh,0.73828125,0.046803615464391754,0.50390625,0.15866757582964014,115,133,0.8646616541353384,0.058138494652265886
unembed,de,en,es,0.66796875,0.0534424261685608,0.6796875,0.1792478890125642,105,133,0.7894736842105263,0.06928708256571349
unembed,ru,fr,de,0.6875,0.054438247774186155,0.76953125,0.23634166106841795,108,133,0.8120300751879699,0.0663988399626754
unembed,ru,fr,zh,0.7265625,0.05311048563335235,0.71484375,0.2482915203359222,110,133,0.8270676691729323,0.06427452421254998
unembed,ru,fr,es,0.59765625,0.06008123687272984,1.1875,0.3186629138001141,96,133,0.7218045112781954,0.07615792249509896
unembed,ru,fr,en,0.330078125,0.04879525867564247,2.046875,0.34521815661679023,64,133,0.48120300751879697,0.08491670661450532
unembed,ru,de,fr,0.6953125,0.05609795045022842,0.76171875,0.23368613678675032,109,133,0.8195488721804511,0.06535780823024377
unembed,ru,de,zh,0.765625,0.04613973439397485,0.451171875,0.14870935977338656,119,133,0.8947368421052632,0.052157420941465256
unembed,ru,de,es,0.74609375,0.04813137760522556,0.515625,0.16928967295631062,117,133,0.8796992481203008,0.05528808302171778
unembed,ru,de,en,0.423828125,0.05277854509814389,1.4609375,0.25891361746259267,77,133,0.5789473684210527,0.08391082402578583
unembed,ru,zh,fr,0.609375,0.05775765312627068,0.8828125,0.20713089397007414,94,133,0.706766917293233,0.07737039965811884
unembed,ru,zh,de,0.64453125,0.05510212884460306,0.7734375,0.1978365589842375,99,133,0.7443609022556391,0.07413711226948524
unembed,ru,zh,es,0.6328125,0.05609795045022842,0.8046875,0.2004920832659051,99,133,0.7443609022556391,0.07413711226948524
unembed,ru,zh,en,0.310546875,0.04481197225314105,1.703125,0.21111418039257557,60,133,0.45112781954887216,0.08456987042051159
unembed,ru,es,fr,0.59765625,0.06240482061918901,1.234375,0.3319405352084522,91,133,0.6842105263157895,0.07899942881824144
unembed,ru,es,de,0.7265625,0.05377436670376925,0.7109375,0.2562580931809251,110,133,0.8270676691729323,0.06427452421254998
unembed,ru,es,zh,0.7421875,0.051782723492518536,0.671875,0.2522748067584236,111,133,0.8345864661654135,0.06314681343230259
unembed,ru,es,en,0.37890625,0.05244660456293544,1.7421875,0.3133518652367788,66,133,0.49624060150375937,0.08497437501274104
unembed,ru,en,fr,0.59375,0.0610770584783552,1.234375,0.3306127730676183,96,133,0.7218045112781954,0.07615792249509896
unembed,ru,en,de,0.6796875,0.05609795045022842,0.75390625,0.21642522895591082,105,133,0.7894736842105263,0.06928708256571349
unembed,ru,en,zh,0.6953125,0.04846331814043401,0.5859375,0.16065921904089084,111,133,0.8345864661654135,0.06314681343230259
unembed,ru,en,es,0.64453125,0.05576600991501996,0.80078125,0.2124419425334094,102,133,0.7669172932330827,0.07185542173622735
unembed,zh,fr,de,0.609375,0.05676183152064532,0.9453125,0.24165270963175314,98,133,0.7368421052631579,0.07483860264292752
unembed,zh,fr,ru,0.64453125,0.054438247774186155,0.828125,0.2283750882234151,103,133,0.7744360902255639,0.071032622605866
unembed,zh,fr,es,0.546875,0.05842153419668758,1.234375,0.2828133359976013,92,133,0.6917293233082706,0.07848098622601912
unembed,zh,fr,en,0.296875,0.047467496534808654,2.1875,0.32662948664511693,59,133,0.44360902255639095,0.08443460491797293
unembed,zh,de,fr,0.58984375,0.06140899901356364,1.15625,0.29343543312427167,91,133,0.6842105263157895,0.07899942881824144
unembed,zh,de,ru,0.64453125,0.05775765312627068,0.8515625,0.23368613678675032,97,133,0.7293233082706767,0.07551195728657643
unembed,zh,de,es,0.62890625,0.05808959366147913,0.89453125,0.23235837464591652,97,133,0.7293233082706767,0.07551195728657643
unembed,zh,de,en,0.345703125,0.05012302081647627,1.9140625,0.3186629138001141,64,133,0.48120300751879697,0.08491670661450532
unembed,zh,ru,fr,0.53125,0.059417355802312936,1.234375,0.270863476730097,91,133,0.6842105263157895,0.07899942881824144
unembed,zh,ru,de,0.5703125,0.05676183152064532,1.0390625,0.2443082339134208,99,133,0.7443609022556391,0.07413711226948524
unembed,zh,ru,es,0.54296875,0.05609795045022842,1.1015625,0.24165270963175314,98,133,0.7368421052631579,0.07483860264292752
unembed,zh,ru,en,0.2490234375,0.04182450743626497,2.28125,0.2921076709834379,63,133,0.47368421052631576,0.08485899902604319
unembed,zh,es,fr,0.5390625,0.06074511794314675,1.2578125,0.2867966224201027,84,133,0.631578947368421,0.08198158167939429
unembed,zh,es,de,0.64453125,0.05377436670376925,0.80078125,0.21775299109674462,109,133,0.8195488721804511,0.06535780823024377
unembed,zh,es,ru,0.6484375,0.052114664027726985,0.75390625,0.20580313182924034,108,133,0.8120300751879699,0.0663988399626754
unembed,zh,es,en,0.337890625,0.047467496534808654,1.84375,0.2974187195467731,69,133,0.518796992481203,0.08491670661450532
unembed,zh,en,fr,0.5546875,0.05576600991501996,1.21875,0.3080408166734436,93,133,0.6992481203007519,0.07793814766996207
unembed,zh,en,de,0.62109375,0.05311048563335235,0.8984375,0.23501389892758415,104,133,0.7819548872180451,0.07017691595859488
unembed,zh,en,ru,0.67578125,0.04547585332355794,0.64453125,0.18721446185756702,115,133,0.8646616541353384,0.058138494652265886
unembed,zh,en,es,0.6171875,0.05277854509814389,0.890625,0.23501389892758415,103,133,0.7744360902255639,0.071032622605866
unembed,es,fr,de,0.75,0.054770188309394605,0.72265625,0.2854688602792688,109,133,0.8195488721804511,0.06535780823024377
unembed,es,fr,ru,0.78125,0.052114664027726985,0.66015625,0.2867966224201027,113,133,0.849624060150376,0.060748118225265005
unembed,es,fr,zh,0.78515625,0.052114664027726985,0.66796875,0.2921076709834379,113,133,0.849624060150376,0.060748118225265005
unembed,es,fr,en,0.44140625,0.05576600991501996,1.7109375,0.3717733994334664,79,133,0.5939849624060151,0.08346204765313744
unembed,es,de,fr,0.66015625,0.060413177407938286,1.0078125,0.3133518652367788,102,133,0.7669172932330827,0.07185542173622735
unembed,es,de,ru,0.73828125,0.05244660456293544,0.6875,0.2735190010117646,110,133,0.8270676691729323,0.06427452421254998
unembed,es,de,zh,0.734375,0.05111884242210163,0.6796875,0.270863476730097,113,133,0.849624060150376,0.060748118225265005
unembed,es,de,en,0.3984375,0.05311048563335235,1.7109375,0.32530172450428313,78,133,0.5864661654135338,0.08369649206903769
unembed,es,ru,fr,0.64453125,0.05974929633752139,0.95703125,0.270863476730097,102,133,0.7669172932330827,0.07185542173622735
unembed,es,ru,de,0.67578125,0.05642989098543687,0.78515625,0.23766942320925175,106,133,0.7969924812030075,0.06836178980462929
unembed,es,ru,zh,0.671875,0.05377436670376925,0.79296875,0.23899718535008557,108,133,0.8120300751879699,0.0663988399626754
unembed,es,ru,en,0.326171875,0.049127199210850916,1.859375,0.2761745252934322,71,133,0.5338345864661654,0.08478199447386237
unembed,es,zh,fr,0.61328125,0.05642989098543687,0.859375,0.20580313182924034,103,133,0.7744360902255639,0.071032622605866
unembed,es,zh,de,0.6484375,0.05277854509814389,0.7109375,0.17659236473089657,109,133,0.8195488721804511,0.06535780823024377
unembed,es,zh,ru,0.609375,0.05277854509814389,0.77734375,0.17393684044922894,101,133,0.7593984962406015,0.07264643149756776
unembed,es,zh,en,0.3046875,0.04315226957709878,1.703125,0.2137697046742432,62,133,0.46616541353383456,0.08478199447386237
unembed,es,en,fr,0.6171875,0.06373258276002282,1.203125,0.3345960594901198,91,133,0.6842105263157895,0.07899942881824144
unembed,es,en,de,0.69921875,0.05808959366147913,0.74609375,0.24165270963175314,105,133,0.7894736842105263,0.06928708256571349
unembed,es,en,ru,0.7421875,0.05045496135168473,0.578125,0.21642522895591082,112,133,0.8421052631578947,0.06197225063183037
unembed,es,en,zh,0.73828125,0.052114664027726985,0.62109375,0.21775299109674462,113,133,0.849624060150376,0.060748118225265005
unembed,en,fr,de,0.75390625,0.047135555999600204,0.447265625,0.13277621408338086,114,133,0.8571428571428571,0.05947135533400226
unembed,en,fr,ru,0.79296875,0.04132659663345229,0.357421875,0.1347678572946316,119,133,0.8947368421052632,0.052157420941465256
unembed,en,fr,zh,0.8046875,0.039666893957410035,0.33984375,0.1347678572946316,122,133,0.9172932330827067,0.04681174901088959
