src_lang,dest_lang,latent_lang,avg_prob,sem95_error,correct,total
en,de,ru,0.78515625,0.04282032904189033,120,133
en,de,zh,0.78125,0.04215644797147342,121,133
en,de,es,0.7578125,0.045807793858766405,118,133
en,ru,fr,0.7109375,0.05576600991501996,112,133
en,ru,de,0.74609375,0.05078690188689318,116,133
en,ru,zh,0.734375,0.04846331814043401,113,133
en,ru,es,0.73046875,0.05111884242210163,113,133
en,zh,fr,0.6484375,0.057093772055853774,101,133
en,zh,de,0.6875,0.05377436670376925,104,133
en,zh,ru,0.66015625,0.052114664027726985,107,133
en,zh,es,0.6796875,0.054438247774186155,104,133
en,es,fr,0.65625,0.059417355802312936,101,133
en,es,de,0.78125,0.046803615464391754,117,133
en,es,ru,0.7890625,0.044480031717932585,117,133
en,es,zh,0.8046875,0.04381615064751568,120,133
